1858,0.353096,4.188774,-4.028045,-1.485655,1.293118,-4.171459,1.355733,3.918169,-1.294374,0.88244,3.994787,-1.872322,1.00E+20,1.00E+20,1.00E+20
1859,0.62694,3.827379,-2.915634,-1.624042,0.59237,-3.493296,1.227961,3.92533,-2.218306,1.119475,3.984647,-1.539301,1.00E+20,1.00E+20,1.00E+20
1860,0.749853,4.202868,-1.569153,-1.630961,0.727881,-4.793382,1.319557,4.078322,-1.599024,1.424678,3.746034,-0.960481,1.00E+20,1.00E+20,1.00E+20
1861,0.489072,3.47838,-1.749796,-1.683894,0.770504,-3.603799,1.188921,4.088183,-1.379326,0.866978,3.029509,-2.578396,1.00E+20,1.00E+20,1.00E+20
1862,-0.562348,2.303355,-3.709092,-1.541428,0.780252,-3.83326,1.036653,3.857194,-1.23087,0.061969,2.447976,-3.202687,1.00E+20,1.00E+20,1.00E+20
1863,-0.587206,2.020448,-3.995167,-1.223111,1.319328,-4.272768,0.861758,3.325653,-1.966563,0.070073,2.634461,-2.79145,1.00E+20,1.00E+20,1.00E+20
1864,-0.371018,2.062608,-3.386779,-1.293609,1.984997,-4.946559,0.652329,3.835619,-3.000318,0.202376,2.58195,-2.90373,1.00E+20,1.00E+20,1.00E+20
1865,-0.124322,2.151278,-2.481061,-1.504099,0.94303,-5.388502,0.894199,3.070241,-1.68213,0.441339,2.543622,-2.773919,1.00E+20,1.00E+20,1.00E+20
1866,-0.021276,2.40787,-2.26784,-1.447557,1.104303,-4.25797,0.947203,3.213398,-1.363808,0.390307,2.503741,-2.212692,1.00E+20,1.00E+20,1.00E+20
1867,0.110716,2.10095,-2.331391,-1.114884,0.98035,-3.461183,0.782999,3.078227,-1.541115,0.317986,1.845781,-3.731893,1.00E+20,1.00E+20,1.00E+20
1868,0.384816,2.330371,-1.641467,-0.97365,0.552346,-3.826433,0.707247,2.9185,-1.427767,0.380599,1.790983,-2.183501,1.00E+20,1.00E+20,1.00E+20
1869,0.496951,2.662645,-1.434095,-0.968608,1.397372,-5.29707,0.712262,3.08582,-1.030231,0.504977,2.745501,-3.654156,1.00E+20,1.00E+20,1.00E+20
1870,0.620664,2.785538,-1.506755,-1.214907,0.671292,-4.186812,0.946941,2.932877,-1.485537,0.59839,3.227665,-2.365793,1.00E+20,1.00E+20,1.00E+20
